,cid,smiles
37,1130,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N
38,2444,CN(C)CCOC(C1=CC=CC=C1)C1=CC=C(Br)C=C1
39,2448,OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Br)C=C1
40,204,NC(=O)NC1NC(=O)NC1=O
41,8400,OC(C(=O)C1=CC=CC=C1)C1=CC=CC=C1
42,185460,CCOCCN1C(=NC2=CC=CC=C12)C1CCN(CCC2=CC=C(C=C2)C(C)(C)C(O)=O)CC1
43,4810,COC1=NC(C)=NC(Cl)=C1NC1=NCCN1
44,4659569,CC1=CC=C(C=C1)C(=O)C1=CC(=C(O)C(O)=C1)[N+]([O-])=O
45,9853654,CSCC[C@H](NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(N)=O
46,53025,[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@]2(NC(=O)C1SC(S1)=C(C(N)=O)C(O)=O)OC)C(O)=O
47,6374,[H]C(I)(I)I
48,8447,S(SC1=NC2=CC=CC=C2S1)C1=NC2=CC=CC=C2S1
49,6479523,[H][C@](NC(=O)N1CCNC1=O)(C(=O)N[C@@H]1C(=O)N2[C@@H](C(O)=O)C(C)(C)S[C@]12[H])C1=CC=CC=C1
50,33478,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(=O)OCOC(=O)C(C)(C)C
51,15209,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO
52,54671008,CN1C(=O)C(O)=C(N=C1C(C)(C)NC(=O)C1=NN=C(C)O1)C(=O)NCC1=CC=C(F)C=C1
53,3052762,COCCCN1CCC(CC1)NC(=O)C1=C2OCCC2=C(N)C(Cl)=C1
54,60648,CC1=C(SC=C1)C(=CCCN1CCC[C@H](C1)C(O)=O)C1=C(C)C=CS1
55,392622,CC(C)[C@H](NC(=O)N(C)CC1=CSC(=N1)C(C)C)C(=O)N[C@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)OCC1=CN=CS1)CC1=CC=CC=C1
56,3518,NC(N)=NCCN1CCCCCCC1
57,8944,CCOC(=O)C1(CCN(CCC2=CC=C(N)C=C2)CC1)C1=CC=CC=C1
58,11243969,N[C@H](C(=O)N1[C@H]2C[C@H]2C[C@H]1C#N)C12CC3CC(CC(O)(C3)C1)C2
59,3517,NC(N)=NN=CC1=C(Cl)C=CC=C1Cl
60,3516,COC1=CC=CC=C1OCC(O)CO
61,1738118,[H]C(=O)[C@H](NC(C)=O)[C@@H](O)[C@H](O)[C@H](O)CO
62,2683,CCCCCCCCCCCCCCCC[N+]1=CC=CC=C1
63,41693,CCC(=O)N(C1=CC=CC=C1)C1(COC)CCN(CCC2=CC=CS2)CC1
64,5405,CC(C)(C)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1
65,62886,COC1=CC2=C(C=C1OC)[C@@H](CC1=CC(OC)=C(OC)C=C1)[N@@+](C)(CCC(=O)OCCCCCOC(=O)CC[N@@+]1(C)CCC3=C(C=C(OC)C(OC)=C3)[C@H]1CC1=CC(OC)=C(OC)C=C1)CC2
66,444008,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])C3=C(CC(=O)CC3)C[C@@]([H])(C)[C@@]21[H]
67,1990,CC(=O)NO
68,1993,CC(C[N+](C)(C)C)OC(C)=O
69,10090,CCC(=O)C(CCN(C)C)(C1=CC=CC=C1)C1=CC=CC=C1
70,3202,CC[N+](C)(C)C1=CC(O)=CC=C1
71,135487856,CCCCC(CC)COC1=CC(O)=C(C=C1)C1=NC(=NC(=N1)C1=CC=C(OC)C=C1)C1=C(O)C=C(OCC(CC)CCCC)C=C1
72,441383,CC(C)N1CCN(CC1)C1=CC=C(OC[C@H]2CO[C@@](CN3C=NC=N3)(O2)C2=C(Cl)C=C(Cl)C=C2)C=C1
73,8569,COC1=CC(O)=C(C=C1)C(=O)C1=CC=CC=C1O
74,68911,[H][C@@]12CC[C@@H](C)[C@]3([H])CC[C@@]4(C)OO[C@@]13[C@]([H])(O[C@H](OC)[C@@H]2C)O4
75,8609,NC1=CC(O)=C(C=C1)C(=O)OC1=CC=CC=C1
76,3348,CC(C)(C(O)=O)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1
77,3342,CC(C(O)=O)C1=CC(OC2=CC=CC=C2)=CC=C1
78,3343,CC(CC1=CC=C(O)C=C1)NCC(O)C1=CC(O)=CC(O)=C1
79,5452,CSC1=CC2=C(SC3=CC=CC=C3N2CCC2CCCCN2C)C=C1
80,3341,OC1=CC=C(C=C1)C1CNCCC2=C(Cl)C(O)=C(O)C=C12
81,5456,CCCCCCCCCCCCCCCC[N+](C)(C)CCN(CC1=CC=C(OC)C=C1)C1=NC=CC=N1
82,3345,CCC(=O)N(C1CCN(CCC2=CC=CC=C2)CC1)C1=CC=CC=C1
83,8633,CC(C)C1CCC(C)CC1OC(=O)C1=CC=CC=C1N
