,cid,smiles
68,152951,C[C@@H]1CCN([C@H](C1)C(O)=O)C(=O)[C@H](CCCNC(N)=N)NS(=O)(=O)C1=CC=CC2=C1NCC(C)C2
69,9571074,S1[C@H]2N(C(=O)C2NC(=O)/C(=N\OC)/c2nc(sc2)N)C(=C(C1)/C=C\c1scnc1C)C(=O)O
70,7888,[H]C(=O)CC(C)CCCC(C)(C)O
71,49852292,CO[C@H]1O[C@H](COS(O)(=O)=O)[C@@H](O[C@@H]2O[C@H]([C@@H](O[C@H]3O[C@H](COS(O)(=O)=O)[C@@H](O[C@@H]4O[C@@H]([C@@H](O[C@H]5O[C@H](COS(O)(=O)=O)[C@@H](O)[C@H](O)[C@H]5NS(O)(=O)=O)[C@H](O)[C@H]4O)C(O)=O)[C@H](OS(O)(=O)=O)[C@H]3NS(O)(=O)=O)[C@H](O)[C@H]2OS(O)(=O)=O)C(O)=O)[C@H](O)[C@H]1NS(O)(=O)=O
72,23676225,S(=O)(=O)(Oc1cc2c([C@@H]3C(=CC2)[C@H]2[C@](CC3)(C(=O)CC2)C)cc1)[O-].[Na+]
73,43507,[H][C@]12SCC(CSC3=NN=NN3CC(O)=O)=C(N1C(=O)[C@H]2NC(=O)CC1=CC=CC=C1CN)C(O)=O
74,2266,OC(=O)CCCCCCCC(O)=O
75,2267,CN1CCCC(CC1)N1N=C(CC2=CC=C(Cl)C=C2)C2=CC=CC=C2C1=O
76,2264,Clc1cc(C(=O)NC2C3CCN(C2)CC3)c2OCC(=O)N(c2c1)C
77,2265,CN1C=NC(=C1SC1=NC=NC2=C1NC=N2)[N+]([O-])=O
78,2442,CN(CC1=CC(Br)=CC(Br)=C1N)C1CCCCC1
79,2441,Brc1cc2c(NC(=O)CN=C2c2ncccc2)cc1
80,128292,OC1=C(C(=C(C(=O)C1(Cc1c(O)c(c(OC)c(c1O)C)C(=O)CCC)C)C(=O)C(CC)C)O)C
81,167195,[131I-]
82,2444,CN(C)CCOC(C1=CC=CC=C1)C1=CC=C(Br)C=C1
83,2448,OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Br)C=C1
84,3690,ClCCNP1(=O)OCCCN1CCCl
85,23690531,[18F-]
86,47499,S(CC1=C(N2[C@H](OC1)[C@](OC)(NC(=O)C(c1ccc(O)cc1)C(=O)O)C2=O)C(=O)O)c1n(nnn1)C
87,444254,O([C@H]1[C@H](O)[C@@H](O)[C@H](O[C@@H]1CO)O[C@H]1[C@H](O)[C@@H](O)[C@@H](O[C@@H]1CO)O)[C@H]1O[C@@H]([C@@H](N[C@@H]2[C@H](O)[C@@H](O)[C@H](O)C(=C2)CO)[C@H](O)[C@H]1O)C
88,185460,CCOCCN1C(=NC2=CC=CC=C12)C1CCN(CCC2=CC=C(C=C2)C(C)(C)C(O)=O)CC1
89,4810,COC1=NC(C)=NC(Cl)=C1NC1=NCCN1
90,3152,COC1=C(OC)C=C2C(=O)C(CC3CCN(CC4=CC=CC=C4)CC3)CC2=C1
91,9433,NCCN.CN1C2=C(NC=N2)C(=O)N(C)C1=O.CN1C2=C(NC=N2)C(=O)N(C)C1=O
92,60919,O=C1N(c2nc(nc(c2CC1)C)C)Cc1ccc(cc1)c1c(cccc1)c1n[nH]nn1
93,9415,O1[C@H]2[C@@H]3N(CC2)CC=C3COC(=O)[C@](O)([C@](O)([C@H](C1=O)C)C)C
